id,25 to 29,count,50 to 64,name,party,40 to 49,65 and older,state,18 to 24,30 to 39,17 to 24
225,,,29,Marco Rubio,R,33,28,VA,,40,
226,,,10,John Kasich,R,7,11,VA,,9,
227,,,17,Ted Cruz,R,13,18,VA,,15,
228,,,8,Ben Carson,R,7,5,VA,,6,
229,,,1,Jeb Bush,R,0,0,VA,,4,
230,,,35,Donald Trump,R,39,36,VA,,25,
231,6,1523,35,total,R,19,23,VA,,11,6
232,,,,Other/No Answer,D,,,VA,,,2
233,,,73,Hillary Clinton,D,67,85,VA,,52,26
234,,,27,Bernie Sanders,D,33,15,VA,,48,72
235,6,1413,28,total,D,18,22,VA,,15,10
236,,,1,Other/No Answer,R,3,3,WI,,4,
237,,,12,John Kasich,R,12,16,WI,22,16,
238,,,36,Donald Trump,R,35,35,WI,34,34,
239,,,0,Uninstructed,R,0,,WI,1,0,
240,,,51,Ted Cruz,R,50,46,WI,43,46,
241,4,1532,35,total,R,20,23,WI,6,13,
242,,,1,Other/No Answer,D,,1,WI,,,
243,20,,55,Hillary Clinton,D,44,62,WI,16,31,
244,79,,44,Bernie Sanders,D,56,37,WI,84,69,
245,1,,,Uninstructed,D,0,0,WI,0,,
246,8,1774,30,total,D,15,18,WI,11,17,
