id,non to whites no degree,count,non to whites college grads:count,state,non to whites college grads,white college graduates:count,whites no degree,party,white college graduates,non to whites no degree:count,name,whites no degree:count
233,75,887,193,VA,76,384,51,D,59,180,Hillary Clinton,130
234,25,504,61,VA,24,266,46,D,41,60,Bernie Sanders,117
235,17,1413,254,VA,18,650,18,D,46,240,total,254
236,0,29,0,WI,0,21,1,R,3,0,Other/No Answer,8
237,0,218,0,WI,0,124,12,R,18,0,John Kasich,94
238,0,504,0,WI,0,207,38,R,30,0,Donald Trump,297
239,0,0,0,WI,0,0,0,R,0,0,Uninstructed,0
240,0,721,0,WI,0,338,49,R,49,0,Ted Cruz,383
241,2,1532,31,WI,2,689,51,R,45,31,total,781
242,59,765,66,WI,53,319,41,D,40,104,Hillary Clinton,276
243,41,1008,58,WI,47,479,59,D,60,73,Bernie Sanders,398
244,0,0,0,WI,0,0,0,D,0,0,Uninstructed,0
245,10,1774,124,WI,7,798,38,D,45,177,total,674
