id,moderate/liberal:count,count,party,conservative:count,moderate/liberal,state,conservative,name
1,0,10,R,10,0,AL,1,Other/No Answer
2,65,229,R,164,24,AL,17,Marco Rubio
3,22,51,R,29,8,AL,3,John Kasich
4,5,15,R,10,2,AL,1,Uncommitted
5,38,260,R,222,14,AL,23,Ted Cruz
6,24,130,R,106,9,AL,11,Ben Carson
7,0,10,R,10,0,AL,1,Jeb Bush
8,117,532,R,415,43,AL,43,Donald Trump
9,272,1237,R,965,22,AL,78,total
10,5,28,R,23,2,AR,2,Other/No Answer
