id,less than $30k:count,$30k to 50k:count,count,state,less than $30k,$100k to 200k:count,$200k or more:count,$50k to 100k:count,$200k or more,$100k to 200k,$50k to 100k,party,$30k to 50k,name
169,89,106,419,OK,54,73,0,151,0,49,54,D,54,Bernie Sanders
170,164,197,821,OK,20,148,33,279,4,18,34,D,24,total
171,0,0,5,SC,0,5,0,0,0,1,0,R,0,Other/No Answer
172,0,69,362,SC,0,149,0,144,0,28,19,R,20,Marco Rubio
173,0,24,141,SC,0,64,0,53,0,12,7,R,7,John Kasich
174,0,94,381,SC,0,90,0,197,0,17,26,R,27,Ted Cruz
175,0,17,114,SC,0,37,0,60,0,7,8,R,5,Ben Carson
176,0,28,110,SC,0,37,0,45,0,7,6,R,8,Jeb Bush
177,0,115,521,SC,0,149,0,257,0,28,34,R,33,Donald Trump
178,204,347,2043,SC,10,531,204,756,10,26,37,R,17,total
179,0,0,4,SC,0,0,0,4,0,0,1,D,0,Other/No Answer
180,390,290,1045,SC,81,133,0,232,0,70,66,D,71,Hillary Clinton
181,92,119,384,SC,19,57,0,116,0,30,33,D,29,Bernie Sanders
182,482,409,1461,SC,33,190,29,351,2,13,24,D,28,total
183,0,3,8,TN,0,0,0,5,0,0,1,R,1,Other/No Answer
184,0,52,224,TN,0,70,0,102,0,22,21,R,18,Marco Rubio
185,0,6,57,TN,0,22,0,29,0,7,6,R,2,John Kasich
186,0,0,0,TN,0,0,0,0,0,0,0,R,0,Uncommitted
187,0,69,273,TN,0,82,0,122,0,26,25,R,24,Ted Cruz
188,0,17,70,TN,0,19,0,34,0,6,7,R,6,Ben Carson
189,0,9,9,TN,0,0,0,0,0,0,0,R,3,Jeb Bush
190,0,132,450,TN,0,123,0,195,0,39,40,R,46,Donald Trump
191,187,287,1435,TN,13,316,158,488,11,22,34,R,20,total
192,2,2,4,TN,1,0,0,0,0,0,0,D,1,Other/No Answer
193,124,141,584,TN,58,160,0,159,0,72,61,D,66,Hillary Clinton
194,0,0,5,TN,0,2,0,3,0,1,1,D,0,Uncommitted
195,87,70,316,TN,41,60,0,99,0,27,38,D,33,Bernie Sanders
196,213,213,966,TN,22,222,48,261,5,23,27,D,22,total
197,0,41,329,TX,0,103,90,95,38,18,13,R,14,Marco Rubio
198,0,18,69,TX,0,29,7,15,3,5,2,R,6,John Kasich
199,0,0,11,TX,0,11,0,0,0,2,0,R,0,Uncommitted
200,0,94,812,TX,0,234,76,408,32,41,56,R,32,Ted Cruz
201,0,15,55,TX,0,11,7,22,3,2,3,R,5,Ben Carson
202,0,15,22,TX,0,0,0,7,0,0,1,R,5,Jeb Bush
203,0,112,534,TX,0,183,57,182,24,32,25,R,38,Donald Trump
204,138,295,1969,TX,7,571,236,729,12,29,37,R,15,total
205,0,3,20,TX,0,0,2,15,2,0,3,D,1,Other/No Answer
206,192,181,969,TX,72,188,85,323,72,67,64,D,61,Hillary Clinton
207,75,112,477,TX,28,93,31,166,26,33,33,D,38,Bernie Sanders
208,267,296,1481,TX,18,281,118,504,8,19,34,D,20,total
209,0,0,6,VT,0,6,0,0,0,4,0,R,0,Other/No Answer
210,0,0,70,VT,0,26,0,44,0,18,22,R,0,Marco Rubio
211,0,0,109,VT,0,52,0,57,0,36,29,R,0,John Kasich
212,0,0,28,VT,0,6,0,22,0,4,11,R,0,Ted Cruz
213,0,0,12,VT,0,4,0,8,0,3,4,R,0,Ben Carson
214,0,0,8,VT,0,4,0,4,0,3,2,R,0,Jeb Bush
215,0,0,109,VT,0,46,0,63,0,32,32,R,0,Donald Trump
216,54,107,536,VT,10,145,32,198,6,27,37,R,20,total
217,26,37,192,VT,10,62,0,67,0,20,12,D,11,Hillary Clinton
218,236,302,1272,VT,90,246,0,488,0,80,88,D,89,Bernie Sanders
219,262,339,1542,VT,17,308,77,555,5,20,36,D,22,total
220,0,0,11,VA,0,6,0,5,0,1,1,R,0,Other/No Answer
221,0,0,370,VA,0,209,0,161,0,37,33,R,0,Marco Rubio
222,0,0,122,VA,0,73,0,49,0,13,10,R,0,John Kasich
223,0,0,165,VA,0,68,0,97,0,12,20,R,0,Ted Cruz
224,0,0,53,VA,0,34,0,19,0,6,4,R,0,Ben Carson
225,0,0,6,VA,0,6,0,0,0,1,0,R,0,Jeb Bush
226,0,0,325,VA,0,169,0,156,0,30,32,R,0,Donald Trump
227,91,183,1523,VA,6,564,183,487,12,37,32,R,12,total
228,0,0,4,VA,0,0,0,4,0,0,1,D,0,Other/No Answer
229,97,140,892,VA,57,273,123,259,67,69,61,D,62,Hillary Clinton
230,73,86,504,VA,43,123,61,161,33,31,38,D,38,Bernie Sanders
231,170,226,1413,VA,12,396,184,424,13,28,30,D,16,total
232,0,6,26,WI,0,9,0,11,0,2,2,R,2,Other/No Answer
233,0,39,167,WI,0,56,0,72,0,13,13,R,14,John Kasich
234,0,110,436,WI,0,133,0,193,0,31,35,R,40,Donald Trump
235,0,3,3,WI,0,0,0,0,0,0,0,R,1,Uninstructed
236,0,119,627,WI,0,232,0,276,0,54,50,R,43,Ted Cruz
237,169,276,1532,WI,11,429,123,552,8,28,36,R,18,total
238,3,0,3,WI,1,0,0,0,0,0,0,D,0,Other/No Answer
239,138,155,705,WI,41,163,0,249,0,46,39,D,46,Hillary Clinton
240,195,182,959,WI,58,192,0,390,0,54,61,D,54,Bernie Sanders
241,0,0,0,WI,0,0,0,0,0,0,0,D,0,Uninstructed
242,337,337,1774,WI,19,355,106,639,6,20,36,D,19,total
